route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km
IR37,aarau,basel sbb,day,Aarau → Basel Sbb,CH,CH,38.8
S14,aarau,bleien liebegg,day,Aarau → Bleien Liebegg,CH,CH,7.09
S29,aarau,brugg ag,day,Aarau → Brugg Ag,CH,CH,15.48
S14,aarau,menziken,day,Aarau → Menziken,CH,CH,19.7
S26,aarau,muri ag,day,Aarau → Muri Ag,CH,CH,25.21
SN,aarau,oberwinterthur,day,Aarau → Oberwinterthur,CH,CH,54.87
S11,aarau,sennhof kyburg,day,Aarau → Sennhof Kyburg,CH,CH,53.97
S11,aarau,seuzach,day,Aarau → Seuzach,CH,CH,54.13
S29,aarau,turgi,day,Aarau → Turgi,CH,CH,18.86
S11,aarau,wila,day,Aarau → Wila,CH,CH,60.07
S29,aarau,wildegg,day,Aarau → Wildegg,CH,CH,8.82
S29,aarau,zofingen,day,Aarau → Zofingen,CH,CH,14.08
RE,aarau,zurich hardbrucke,day,Aarau → Zurich Hardbrucke,CH,CH,35.08
P32,abancourt,creil,day,Abancourt → Creil,FR,FR,68.72
P21,abbeville,amiens,day,Abbeville → Amiens,FR,FR,41.82
621B,aeroport charles de gaulle 2 tgv,annecy,day,Aeroport Charles de Gaulle 2 Tgv → Annecy,FR,FR,436.05
622E,aeroport charles de gaulle 2 tgv,geneve cornavin,day,Aeroport Charles de Gaulle 2 Tgv → Geneve Cornavin,FR,FR,410.0
621A,aeroport charles de gaulle 2 tgv,grenoble,day,Aeroport Charles de Gaulle 2 Tgv → Grenoble,FR,FR,486.01
601B,aeroport charles de gaulle 2 tgv,lyon perrache,day,Aeroport Charles de Gaulle 2 Tgv → Lyon Perrache,FR,FR,399.75
641A,aeroport charles de gaulle 2 tgv,milano porta garibaldi,day,Aeroport Charles de Gaulle 2 Tgv → Milano Porta Garibaldi,FR,FR,634.09
631D,aeroport charles de gaulle 2 tgv,miramas,day,Aeroport Charles de Gaulle 2 Tgv → Miramas,FR,FR,631.12
633G,aeroport charles de gaulle 2 tgv,perpignan,day,Aeroport Charles de Gaulle 2 Tgv → Perpignan,FR,FR,701.77
003C,aeroport charles de gaulle 2 tgv,rennes,day,Aeroport Charles de Gaulle 2 Tgv → Rennes,FR,FR,327.93
533A,aeroport charles de gaulle 2 tgv,toulon,day,Aeroport Charles de Gaulle 2 Tgv → Toulon,FR,FR,702.63
S3,aesch bl,basel sbb,day,Aesch Bl → Basel Sbb,CH,CH,8.92
S14,affoltern am albis,hinwil,day,Affoltern Am Albis → Hinwil,CH,CH,29.77
S5,affoltern am albis,pfaffikon sz,day,Affoltern Am Albis → Pfaffikon Sz,CH,CH,26.31
S5,affoltern am albis,zug,day,Affoltern Am Albis → Zug,CH,CH,12.5
S5,affoltern am albis,zurich hb,day,Affoltern Am Albis → Zurich Hb,CH,CH,13.37
P158,agen,auch,day,Agen → Auch,FR,FR,62.35
L44,agen,marmande,day,Agen → Marmande,FR,FR,48.71
421C,agen,paris montparnasse hall 1 2,day,Agen → Paris Montparnasse Hall 1 2,FR,FR,531.31
L34,agen,perigueux,day,Agen → Perigueux,FR,FR,109.13
K11,agen,toulouse matabiau,day,Agen → Toulouse Matabiau,FR,FR,94.09
R,aigle,cossonay penthalaz,day,Aigle → Cossonay Penthalaz,CH,CH,46.58
R,aigle,lausanne,day,Aigle → Lausanne,CH,CH,33.94
R,aigle,leysin feydey,day,Aigle → Leysin Feydey,CH,CH,4.6
R,aigle,leysin grand hotel,day,Aigle → Leysin Grand Hotel,CH,CH,4.58
R,aigle,monthey ville,day,Aigle → Monthey Ville,CH,CH,7.1
INCONNU,aillevillers,belfort ville,day,Aillevillers → Belfort Ville,FR,FR,49.64
IR26,airolo,arth goldau,day,Airolo → Arth Goldau,CH,CH,58.17
S10,airolo,como camerlata,day,Airolo → Como Camerlata,CH,CH,90.23
P31,aiton salle polyvalente,saint jean de maurienne arvan,day,Aiton Salle Polyvalente → Saint Jean de Maurienne Arvan,FR,FR,32.39
C2,aix en provence,marseille saint charles,day,Aix En Provence → Marseille Saint Charles,FR,FR,25.04
C2,aix en provence,pertuis,day,Aix En Provence → Pertuis,FR,FR,18.58
533A,aix en provence tgv,lille flandres,day,Aix En Provence Tgv → Lille Flandres,FR,FR,816.38
P41,aix les bains le revard,bourg saint maurice,day,Aix les Bains le Revard → Bourg Saint Maurice,FR,FR,67.43
TER,aix les bains le revard,bourg saint maurice,day,Aix les Bains le Revard → Bourg Saint Maurice,CH,CH,67.49
C21,aix les bains le revard,chambery challes les eaux,day,Aix les Bains le Revard → Chambery Challes les Eaux,FR,FR,13.02
K23,aix les bains le revard,lyon part dieu,day,Aix les Bains le Revard → Lyon Part Dieu,FR,FR,81.9
TER,aix les bains le revard,lyon part dieu,day,Aix les Bains le Revard → Lyon Part Dieu,CH,CH,81.83
621B,aix les bains le revard,paris gare de lyon hall 1 2,day,Aix les Bains le Revard → Paris de Lyon Hall 1 2,FR,FR,440.8
TER,aix les bains le revard,valence,day,Aix les Bains le Revard → Valence,CH,CH,116.01
K21,aix les bains le revard,valence ville,day,Aix les Bains le Revard → Valence Ville,FR,FR,116.0
P21,albert,abbeville,day,Albert → Abbeville,FR,FR,59.52
P21,albert,amiens,day,Albert → Amiens,FR,FR,27.23
P41,albertville,moutiers salins brides les b,day,Albertville → Moutiers Salins Brides les B,FR,FR,23.73
P2,albi ville,carmaux,day,Albi Ville → Carmaux,FR,FR,14.1
555B,albi ville,paris austerlitz,day,Albi Ville → Paris Austerlitz,FR,FR,547.34
P2,albi ville,rodez,day,Albi Ville → Rodez,FR,FR,60.36
RB,albstadt ebingen,mengen,day,Albstadt Ebingen → Mengen,CH,CH,28.84
K39,alencon,caen,day,Alencon → Caen,FR,FR,88.79
P9,alencon,le mans,day,Alencon → le Mans,FR,FR,49.23
C7,ales,genolhac,day,Ales → Genolhac,FR,FR,26.6
P17,ales,langeac,day,Ales → Langeac,FR,FR,118.02
INCONNU,ales,langogne,day,Ales → Langogne,FR,FR,69.64
P7,ales,mende,day,Ales → Mende,FR,FR,63.84
RE,allaman,geneve,day,Allaman → Geneve,CH,CH,35.52
R,allaman,morges,day,Allaman → Morges,CH,CH,8.22
CC,allmend,wengen,day,Allmend → Wengen,CH,CH,1.47
CC,alpiglen,brandegg,day,Alpiglen → Brandegg,CH,CH,1.23
CC,alpiglen,grindelwald,day,Alpiglen → Grindelwald,CH,CH,3.61
CC,alpiglen,grindelwald grund,day,Alpiglen → Grindelwald Grund,CH,CH,2.99
CC,alpnachstad pb,pilatus kulm,day,Alpnachstad Pb → Pilatus Kulm,CH,CH,3.11
IC2,altdorf ur,zurich hb,day,Altdorf Ur → Zurich Hb,CH,CH,56.29
C13,altkirch,mulhouse,day,Altkirch → Mulhouse,FR,FR,15.04
S1,altnau,feuerthalen,day,Altnau → Feuerthalen,CH,CH,47.1
RE,altnau,konstanz,day,Altnau → Konstanz,CH,CH,7.83
S2,altstatten sg,rorschach,day,Altstatten Sg → Rorschach,CH,CH,12.17
S13,altstatten sg,sargans,day,Altstatten Sg → Sargans,CH,CH,37.56
TER,amberieu,bourg en bresse,day,Amberieu → Bourg En Bresse,CH,CH,29.06
TER,amberieu,lyon part dieu,day,Amberieu → Lyon Part Dieu,CH,CH,43.04
TER,amberieu,macon,day,Amberieu → Macon,CH,CH,55.61
TER,amberieu,saint etienne chateaucreux,day,Amberieu → Saint Etienne Chateaucreux,CH,CH,92.6
P13,amberieu en bugey,bourg en bresse,day,Amberieu En Bugey → Bourg En Bresse,FR,FR,29.08
P13,amberieu en bugey,bourg en bresse gare routiere,day,Amberieu En Bugey → Bourg En Bresse,FR,FR,29.0
P3,amberieu en bugey,culoz,day,Amberieu En Bugey → Culoz,FR,FR,35.94
C18,amberieu en bugey,lyon part dieu,day,Amberieu En Bugey → Lyon Part Dieu,FR,FR,43.15
C18,amberieu en bugey,lyon part dieu gare routiere,day,Amberieu En Bugey → Lyon Part Dieu,FR,FR,42.88
C18,amberieu en bugey,saint etienne chateaucreux,day,Amberieu En Bugey → Saint Etienne Chateaucreux,FR,FR,92.65
K3,amberieu en bugey,saint rambert en bugey,day,Amberieu En Bugey → Saint Rambert En Bugey,FR,FR,7.47
K3,amberieu en bugey,tenay hauteville,day,Amberieu En Bugey → Tenay Hauteville,FR,FR,12.81
INCONNU,amberieu en bugey,virieu le grand belley,day,Amberieu En Bugey → Virieu le Grand Belley,FR,FR,26.8
EXT,ambri piotta,bellinzona,day,Ambri Piotta → Bellinzona,CH,CH,43.69
EXT,ambri piotta,zurich hb,day,Ambri Piotta → Zurich Hb,CH,CH,97.12
P24,amiens,abancourt,day,Amiens → Abancourt,FR,FR,44.6
K21,amiens,calais ville,day,Amiens → Calais Ville,FR,FR,122.55
P23,amiens,compiegne,day,Amiens → Compiegne,FR,FR,63.97
K21,amiens,etaples le touquet,day,Amiens → Etaples le Touquet,FR,FR,84.2
K90+,amiens,lille europe,day,Amiens → Lille Europe,FR,FR,99.54
K44,amiens,lille flandres,day,Amiens → Lille Flandres,FR,FR,99.05
K11,amiens,longueau,day,Amiens → Longueau,FR,FR,4.36
P20,amiens,tergnier,day,Amiens → Tergnier,FR,FR,75.54
NLAMA -> FRQBM,amsterdam centraal,bourg st maurice,day,Amsterdam Centraal → Bourg St Maurice,NL,FR,763.99
NLAMA -> FRMLV,amsterdam centraal,marne la vallee chessy,day,Amsterdam Centraal → Marne la Vallee Chessy,NL,FR,417.72
C4,ancenis,nantes,day,Ancenis → Nantes,FR,FR,32.25
C42,ancenis bis,savenay,day,Ancenis Bis → Savenay,FR,FR,58.25
S12,andelfingen,schaffhausen,day,Andelfingen → Schaffhausen,CH,CH,12.11
S24,andelfingen,thalwil,day,Andelfingen → Thalwil,CH,CH,34.19
S24,andelfingen,zug,day,Andelfingen → Zug,CH,CH,48.29
P18,andelot,dole,day,Andelot → Dole,FR,FR,42.25
TER,andelot,dole,day,Andelot → Dole,CH,CH,42.25
INCONNU,andelot,saint claude,day,Andelot → Saint Claude,FR,FR,52.43
TER,andelot,saint claude,day,Andelot → Saint Claude,CH,CH,52.54
R,andermatt,disentis muster,day,Andermatt → Disentis Muster,CH,CH,21.37
R,andermatt,goschenen,day,Andermatt → Goschenen,CH,CH,3.23
R,andermatt,realp,day,Andermatt → Realp,CH,CH,8.07
C20,angers saint laud,cholet,day,Angers Saint Laud → Cholet,FR,FR,50.26
P15,angers saint laud,le mans,day,Angers Saint Laud → le Mans,FR,FR,81.41
P5,angers saint laud,nantes,day,Angers Saint Laud → Nantes,FR,FR,79.16
P1,angers saint laud,saumur,day,Angers Saint Laud → Saumur,FR,FR,42.54
P65,angers saint laud,thouars,day,Angers Saint Laud → Thouars,FR,FR,59.41
L12+,angouleme,chatellerault,day,Angouleme → Chatellerault,FR,FR,132.88
L16,angouleme,la rochelle porte dauphine,day,Angouleme → la Rochelle Porte Dauphine,FR,FR,116.79
K23,annecy,aix les bains le revard,day,Annecy → Aix les Bains le Revard,FR,FR,28.93
TER,annecy,aix les bains le revard,day,Annecy → Aix les Bains le Revard,CH,CH,28.94
K21,annecy,avignon centre,day,Annecy → Avignon Centre,FR,FR,241.34
TER,annecy,avignon centre,day,Annecy → Avignon Centre,CH,CH,241.38
K21,annecy,chambery challes les eaux,day,Annecy → Chambery Challes les Eaux,FR,FR,39.99
TER,annecy,chambery challes les eaux,day,Annecy → Chambery Challes les Eaux,CH,CH,39.96
E04,annecy,chamonix mont blanc,day,Annecy → Chamonix Mont Blanc,FR,FR,58.21
L2,annecy,geneve cornavin,day,Annecy → Geneve Cornavin,FR,FR,34.3
