route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country
ICE,basel sbb,basel bad bf,night,Basel Sbb → Basel,CH,CH
EC,como s giovanni,zurich hb,night,Como S Giovanni → Zurich Hb,CH,CH
EC,como s giovanni,chiasso,night,Como S Giovanni → Chiasso,CH,CH
EC,chiasso,zurich hb,night,Chiasso → Zurich Hb,CH,CH
EC,bellinzona,como s giovanni,night,Bellinzona → Como S Giovanni,CH,CH
EC,lugano,como s giovanni,night,Lugano → Como S Giovanni,CH,CH
EC,domodossola i,geneve,night,Domodossola I → Geneve,CH,CH
EC,domodossola i,lausanne,night,Domodossola I → Lausanne,CH,CH
EC,domodossola i,brig,night,Domodossola I → Brig,CH,CH
EC,geneve,brig,night,Geneve → Brig,CH,CH
EC,domodossola i,montreux,night,Domodossola I → Montreux,CH,CH
EC,brig,lausanne,night,Brig → Lausanne,CH,CH
EC,domodossola i,olten,night,Domodossola I → Olten,CH,CH
EC,brig,basel sbb,night,Brig → Basel Sbb,CH,CH
EC,domodossola i,basel sbb,night,Domodossola I → Basel Sbb,CH,CH
EC,basel sbb,simplontunnel,night,Basel Sbb → Simplontunnel,CH,CH
EC,domodossola i,liestal,night,Domodossola I → Liestal,CH,CH
ICE,basel bad bf,interlaken ost,night,Basel → Interlaken Ost,CH,CH
EC,bregenz,zurich hb,night,Bregenz → Zurich Hb,CH,CH
ICE,basel bad bf,visp,night,Basel → Visp,CH,CH
ICE,chur,basel bad bf,night,Chur → Basel,CH,CH
ICE,zurich hb,basel bad bf,night,Zurich Hb → Basel,CH,CH
ICE,basel bad bf,brig,night,Basel → Brig,CH,CH
EC,como s giovanni,basel sbb,night,Como S Giovanni → Basel Sbb,CH,CH
EC,chiasso,basel bad bf,night,Chiasso → Basel,CH,CH
RJX,feldkirch,zurich hb,night,Feldkirch → Zurich Hb,CH,CH
RJX,feldkirch,sargans,night,Feldkirch → Sargans,CH,CH
EC,olten,como s giovanni,night,Olten → Como S Giovanni,CH,CH
EC,basel sbb,chiasso,night,Basel Sbb → Chiasso,CH,CH
IC,zurich hb,singen hohentwiel,night,Zurich Hb → Singen Hohentwiel,CH,CH
IC,schaffhausen,singen hohentwiel,night,Schaffhausen → Singen Hohentwiel,CH,CH
IC61,basel sbb,interlaken ost,night,Basel Sbb → Interlaken Ost,CH,CH
ICE,basel bad bf,bern,night,Basel → Bern,CH,CH
IC5,biel bienne,lausanne,night,Biel Bienne → Lausanne,CH,CH
IC5,biel bienne,yverdon les bains,night,Biel Bienne → Yverdon les Bains,CH,CH
IC5,zurich hb,rorschach,night,Zurich Hb → Rorschach,CH,CH
IC51,delemont,lausanne,night,Delemont → Lausanne,CH,CH
IC51,delemont,yverdon les bains,night,Delemont → Yverdon les Bains,CH,CH
IC5,biel bienne,st gallen,night,Biel Bienne → St Gallen,CH,CH
IC5,biel bienne,rorschach,night,Biel Bienne → Rorschach,CH,CH
IC5,solothurn,rorschach,night,Solothurn → Rorschach,CH,CH
IC5,zurich hb,lausanne,night,Zurich Hb → Lausanne,CH,CH
IC5,zurich hb,solothurn,night,Zurich Hb → Solothurn,CH,CH
IC5,zurich hb,yverdon les bains,night,Zurich Hb → Yverdon les Bains,CH,CH
IC5,lausanne,aarau,night,Lausanne → Aarau,CH,CH
IC5,yverdon les bains,zurich flughafen,night,Yverdon les Bains → Zurich Flughafen,CH,CH
IC5,rorschach,neuchatel,night,Rorschach → Neuchatel,CH,CH
IC5,lausanne,zurich flughafen,night,Lausanne → Zurich Flughafen,CH,CH
IC5,yverdon les bains,winterthur,night,Yverdon les Bains → Winterthur,CH,CH
IC5,zurich hb,st gallen,night,Zurich Hb → St Gallen,CH,CH
IC5,zurich hb,renens vd,night,Zurich Hb → Renens Vd,CH,CH
IC5,zurich hb,biel bienne,night,Zurich Hb → Biel Bienne,CH,CH
IC3,basel sbb,zurich hb,night,Basel Sbb → Zurich Hb,CH,CH
IC3,chur,basel sbb,night,Chur → Basel Sbb,CH,CH
IC3,chur,zurich hb,night,Chur → Zurich Hb,CH,CH
IC6,bern,brig,night,Bern → Brig,CH,CH
IC6,brig,thun,night,Brig → Thun,CH,CH
IC6,basel sbb,bern,night,Basel Sbb → Bern,CH,CH
IC61,interlaken ost,bern,night,Interlaken Ost → Bern,CH,CH
IC21,basel sbb,lugano,night,Basel Sbb → Lugano,CH,CH
IC21,olten,lugano,night,Olten → Lugano,CH,CH
