country,year,value,unit,sector,source
AT,2024,0.401269128,%,Total,EEA
AT,2024,0.134944219,%,Transport,EEA
AT,2024,0.892091908,%,Electricity,EEA
AT,2024,0.373233,%,Heating and Cooling,EEA
BE,2024,0.142611666,%,Total,EEA
BE,2024,0.124312522,%,Transport,EEA
BE,2024,0.307735571,%,Electricity,EEA
BE,2024,0.109994651,%,Heating and Cooling,EEA
BG,2024,0.22109884,%,Total,EEA
BG,2024,0.080344721,%,Transport,EEA
BG,2024,0.325362562,%,Electricity,EEA
BG,2024,0.332841834,%,Heating and Cooling,EEA
CZ,2024,0.195810222,%,Total,EEA
CZ,2024,0.060190872,%,Transport,EEA
CZ,2024,0.179445362,%,Electricity,EEA
CZ,2024,0.300314762,%,Heating and Cooling,EEA
DE,2024,0.224445793,%,Total,EEA
DE,2024,0.115831929,%,Transport,EEA
DE,2024,0.54099989,%,Electricity,EEA
DE,2024,0.1806071,%,Heating and Cooling,EEA
DK,2024,0.465390412,%,Total,EEA
DK,2024,0.11554701,%,Transport,EEA
DK,2024,0.812177371,%,Electricity,EEA
DK,2024,0.568191566,%,Heating and Cooling,EEA
EE,2024,0.404485366,%,Total,EEA
EE,2024,0.084324333,%,Transport,EEA
EE,2024,0.379492017,%,Electricity,EEA
EE,2024,0.657455479,%,Heating and Cooling,EEA
EL,2024,0.25990645,%,Total,EEA
EL,2024,0.038147233,%,Transport,EEA
EL,2024,0.511003403,%,Electricity,EEA
EL,2024,0.373837714,%,Heating and Cooling,EEA
ES,2024,0.264782012,%,Total,EEA
ES,2024,0.121817387,%,Transport,EEA
ES,2024,0.573704921,%,Electricity,EEA
ES,2024,0.221144016,%,Heating and Cooling,EEA
FR,2024,0.229050266,%,Total,EEA
FR,2024,0.107207032,%,Transport,EEA
FR,2024,0.306348645,%,Electricity,EEA
FR,2024,0.314012931,%,Heating and Cooling,EEA
HR,2024,0.252024537,%,Total,EEA
HR,2024,0.008934185,%,Transport,EEA
HR,2024,0.571416548,%,Electricity,EEA
HR,2024,0.325231299,%,Heating and Cooling,EEA
HU,2024,0.184393903,%,Total,EEA
HU,2024,0.075179173,%,Transport,EEA
HU,2024,0.237941857,%,Electricity,EEA
HU,2024,0.241742087,%,Heating and Cooling,EEA
IE,2024,0.162959682,%,Total,EEA
IE,2024,0.085966469,%,Transport,EEA
IE,2024,0.413594138,%,Electricity,EEA
IE,2024,0.078544839,%,Heating and Cooling,EEA
IT,2024,0.201317171,%,Total,EEA
IT,2024,0.10720837,%,Transport,EEA
IT,2024,0.390897161,%,Electricity,EEA
IT,2024,0.226451848,%,Heating and Cooling,EEA
LT,2024,0.347030358,%,Total,EEA
LT,2024,0.079613243,%,Transport,EEA
LT,2024,0.468443595,%,Electricity,EEA
LT,2024,0.555677928,%,Heating and Cooling,EEA
LU,2024,0.145441649,%,Total,EEA
LU,2024,0.099454577,%,Transport,EEA
LU,2024,0.21769543,%,Electricity,EEA
LU,2024,0.184187994,%,Heating and Cooling,EEA
LU,2024,439.2700957,ktoe,GFEC,EEA
LV,2024,0.451986629,%,Total,EEA
LV,2024,0.064167507,%,Transport,EEA
LV,2024,0.574724424,%,Electricity,EEA
LV,2024,0.619954625,%,Heating and Cooling,EEA
MT,2024,0.166815952,%,Total,EEA
MT,2024,0.108592633,%,Transport,EEA
MT,2024,0.106514958,%,Electricity,EEA
MT,2024,0.571016733,%,Heating and Cooling,EEA
MT,2024,122.7507262,ktoe,GFEC,EEA
NL,2024,0.198069686,%,Total,EEA
NL,2024,0.169874901,%,Transport,EEA
NL,2024,0.509170138,%,Electricity,EEA
NL,2024,0.113708953,%,Heating and Cooling,EEA
PL,2024,0.188844423,%,Total,EEA
PL,2024,0.065283696,%,Transport,EEA
PL,2024,0.298862167,%,Electricity,EEA
PL,2024,0.233546537,%,Heating and Cooling,EEA
PT,2024,0.361570902,%,Total,EEA
PT,2024,0.115039804,%,Transport,EEA
PT,2024,0.655838912,%,Electricity,EEA
PT,2024,0.481878257,%,Heating and Cooling,EEA
RO,2024,0.25264107,%,Total,EEA
RO,2024,0.074732518,%,Transport,EEA
RO,2024,0.48335706,%,Electricity,EEA
RO,2024,0.277538851,%,Heating and Cooling,EEA
SE,2024,0.659738875,%,Total,EEA
SE,2024,0.349497748,%,Transport,EEA
SE,2024,0.899084403,%,Electricity,EEA
SE,2024,0.672138301,%,Heating and Cooling,EEA
SI,2024,0.269073348,%,Total,EEA
SI,2024,0.09585571,%,Transport,EEA
SI,2024,0.452426235,%,Electricity,EEA
SI,2024,0.355297903,%,Heating and Cooling,EEA
SK,2024,0.172071071,%,Total,EEA
SK,2024,0.095067909,%,Transport,EEA
SK,2024,0.244507848,%,Electricity,EEA
SK,2024,0.193053366,%,Heating and Cooling,EEA
