route_name,origin,destination,service_type,route_name_simple,type
GBSPX -> FRPNO,St Pancras International,Paris Nord,day,St Pancras International → Paris Nord,day
GBSPX -> NLAMA,St Pancras International,Amsterdam Centraal,day,St Pancras International → Amsterdam Centraal,day
GBSPX -> BEBMI,St Pancras International,Bruxelles Midi,day,St Pancras International → Bruxelles Midi,day
NLRTA -> GBSPX,Rotterdam Centraal,St Pancras International,day,Rotterdam Centraal → St Pancras International,day
BEBMI -> FRPNO,Bruxelles Midi,Paris Nord,day,Bruxelles Midi → Paris Nord,day
BEBMI -> NLAMA,Bruxelles Midi,Amsterdam Centraal,day,Bruxelles Midi → Amsterdam Centraal,day
FRPNO -> NLAMA,Paris Nord,Amsterdam Centraal,day,Paris Nord → Amsterdam Centraal,day
FRPNO -> DEKOH,Paris Nord,Koln Hbf,day,Paris Nord → Koln,day
DEDTM -> FRPNO,Dortmund Hbf,Paris Nord,day,Dortmund → Paris Nord,day
DEDTM -> FRPNO,Dortmund Hbf,Bruxelles Midi,day,Dortmund → Bruxelles Midi,day
FRPNO -> DEDTM,Paris Nord,Essen Hbf,day,Paris Nord → Essen,day
BEBMI -> FRQBM,Bruxelles Midi,Bourg St Maurice,day,Bruxelles Midi → Bourg St Maurice,day
NLAMA -> FRMLV,Amsterdam Centraal,Marne La Vallee Chessy,day,Amsterdam Centraal → Marne la Vallee Chessy,day
BEBMI -> FRMLV,Bruxelles Midi,Marne La Vallee Chessy,day,Bruxelles Midi → Marne la Vallee Chessy,day
NLAMA -> FRQBM,Amsterdam Centraal,Aime La Plagne Batiment Voyageurs,day,Amsterdam Centraal → Aime la Plagne Batiment Voyageurs,day
FRQBM -> NLAMA,Bourg St Maurice,Lille Europe,day,Bourg St Maurice → Lille Europe,day
FRQBM -> NLAMA,Bourg St Maurice,Antwerpen Centraal,day,Bourg St Maurice → Antwerpen Centraal,day
K7,Lyon Part Dieu,Dijon,day,Lyon Part Dieu → Dijon,day
807A,Strasbourg,Paris Est,day,Strasbourg → Paris Est,day
805A,Nancy,Paris Est,day,Nancy → Paris Est,day
803A,Paris Est,Metz,day,Paris Est → Metz,day
801A,Reims,Paris Est,day,Reims → Paris Est,day
071A,Marseille Saint Charles,Strasbourg,day,Marseille Saint Charles → Strasbourg,day
071A,Marseille Saint Charles,Mulhouse,day,Marseille Saint Charles → Mulhouse,day
071A,Toulon,Belfort Montbeliard Tgv,day,Toulon → Belfort Montbeliard Tgv,day
071A,Nice Ville,Lyon Part Dieu,day,Nice Ville → Lyon Part Dieu,day
071A,Nice Ville,Macon,day,Nice Ville → Macon,day
071A,Strasbourg,Aix En Provence Tgv,day,Strasbourg → Aix En Provence Tgv,day
071A,Metz,Avignon Tgv,day,Metz → Avignon Tgv,day
071B,Strasbourg,Montpellier Saint Roch,day,Strasbourg → Montpellier Saint Roch,day
071B,Montpellier Saint Roch,Colmar,day,Montpellier Saint Roch → Colmar,day
071B,Montpellier Saint Roch,Metz,day,Montpellier Saint Roch → Metz,day
071B,Metz,Nimes Centre,day,Metz → Nimes Centre,day
421D,Paris Montparnasse Hall 1 2,Bordeaux Saint Jean,day,Paris Montparnasse Hall 1 2 → Bordeaux Saint Jean,day
401D,Paris Montparnasse Hall 1 2,Rennes,day,Paris Montparnasse Hall 1 2 → Rennes,day
401D,Paris Montparnasse Hall 1 2,Saint Malo,day,Paris Montparnasse Hall 1 2 → Saint Malo,day
401C,Paris Montparnasse Hall 1 2,Lorient,day,Paris Montparnasse Hall 1 2 → Lorient,day
421C,Paris Montparnasse Hall 1 2,Toulouse Matabiau,day,Paris Montparnasse Hall 1 2 → Toulouse Matabiau,day
421A,Paris Montparnasse Hall 1 2,Hendaye,day,Paris Montparnasse Hall 1 2 → Hendaye,day
421I,Paris Montparnasse Hall 1 2,Poitiers,day,Paris Montparnasse Hall 1 2 → Poitiers,day
401C,Paris Montparnasse Hall 1 2,Quimper,day,Paris Montparnasse Hall 1 2 → Quimper,day
621G,Modane,Paris Gare De Lyon Hall 1 2,day,Modane → Paris de Lyon Hall 1 2,day
631C,Montpellier Saint Roch,Paris Gare De Lyon Hall 1 2,day,Montpellier Saint Roch → Paris de Lyon Hall 1 2,day
631C,Paris Gare De Lyon Hall 1 2,Perpignan,day,Paris de Lyon Hall 1 2 → Perpignan,day
631C,Paris Montparnasse Hall 1 2,Perpignan,day,Paris Montparnasse Hall 1 2 → Perpignan,day
631C,Montpellier Sud De France,Paris Gare De Lyon Hall 1 2,day,Montpellier Sud de France → Paris de Lyon Hall 1 2,day
041G,Montpellier Saint Roch,Lyon Part Dieu,day,Montpellier Saint Roch → Lyon Part Dieu,day
631B,Marseille Saint Charles,Paris Gare De Lyon Hall 1 2,day,Marseille Saint Charles → Paris de Lyon Hall 1 2,day
611A,Paris Gare De Lyon Hall 1 2,Dijon,day,Paris de Lyon Hall 1 2 → Dijon,day
081C,Marseille Saint Charles,Lyon Part Dieu,day,Marseille Saint Charles → Lyon Part Dieu,day
411C,Nantes,Paris Montparnasse Hall 1 2,day,Nantes → Paris Montparnasse Hall 1 2,day
261B,Lille Flandres,Paris Gare Du Nord,day,Lille Flandres → Paris du Nord,day
003C,Aeroport Charles De Gaulle 2 Tgv,Rennes,day,Aeroport Charles de Gaulle 2 Tgv → Rennes,day
001B,Lille Europe,Marseille Saint Charles,day,Lille Europe → Marseille Saint Charles,day
001A,Lille Europe,Lyon Part Dieu,day,Lille Europe → Lyon Part Dieu,day
001A,Lille Europe,Montpellier Sud De France,day,Lille Europe → Montpellier Sud de France,day
001B,Lille Europe,Montpellier Saint Roch,day,Lille Europe → Montpellier Saint Roch,day
261B,Lille Europe,Paris Gare Du Nord,day,Lille Europe → Paris du Nord,day
001B,Marseille Saint Charles,Aeroport Charles De Gaulle 2 Tgv,day,Marseille Saint Charles → Aeroport Charles de Gaulle 2 Tgv,day
003A,Bordeaux Saint Jean,Aeroport Charles De Gaulle 2 Tgv,day,Bordeaux Saint Jean → Aeroport Charles de Gaulle 2 Tgv,day
C1,Rouen Rive Droite,Paris Saint Lazare,day,Rouen Rive Droite → Paris Saint Lazare,day
C1,Oissel,Paris Saint Lazare,day,Oissel → Paris Saint Lazare,day
C1,Vernon Giverny,Rouen Rive Droite,day,Vernon Giverny → Rouen Rive Droite,day
C1,Paris Saint Lazare,Vernon Giverny,day,Paris Saint Lazare → Vernon Giverny,day
552A,Bayonne,Toulouse Matabiau,day,Bayonne → Toulouse Matabiau,day
552A,Hendaye,Toulouse Matabiau,day,Hendaye → Toulouse Matabiau,day
552A,Toulouse Matabiau,Lourdes,day,Toulouse Matabiau → Lourdes,day
723A,Beziers,Severac Le Chateau,day,Beziers → Severac le Chateau,day
723A,Neussargues,Clermont Ferrand,day,Neussargues → Clermont Ferrand,day
723A,Clermont Ferrand,Marvejols,day,Clermont Ferrand → Marvejols,day
723A,Neussargues,Millau,day,Neussargues → Millau,day
K16,Calais Ville,Paris Gare Du Nord,day,Calais Ville → Paris du Nord,day
K16,Boulogne Sur Mer,Paris Gare Du Nord,day,Boulogne Sur Mer → Paris du Nord,day
K16,Boulogne Sur Mer,Amiens,day,Boulogne Sur Mer → Amiens,day
K16,Calais Ville,Saint Just En Chaussee,day,Calais Ville → Saint Just En Chaussee,day
K16,Calais Ville,Amiens,day,Calais Ville → Amiens,day
K16,Calais Ville,Creil,day,Calais Ville → Creil,day
K16,Paris Gare Du Nord,Amiens,day,Paris du Nord → Amiens,day
K16,Paris Gare Du Nord,Marquise Rinxent,day,Paris du Nord → Marquise Rinxent,day
K16,Paris Gare Du Nord,Creil,day,Paris du Nord → Creil,day
K12,Lille Flandres,Creil,day,Lille Flandres → Creil,day
K12,Arras,Paris Gare Du Nord,day,Arras → Paris du Nord,day
K12,Douai,Paris Gare Du Nord,day,Douai → Paris du Nord,day
K13,Cambrai,Paris Gare Du Nord,day,Cambrai → Paris du Nord,day
K13,Tergnier,Paris Gare Du Nord,day,Tergnier → Paris du Nord,day
K13,Paris Gare Du Nord,Maubeuge,day,Paris du Nord → Maubeuge,day
K13,Paris Gare Du Nord,Aulnoye Aymeries,day,Paris du Nord → Aulnoye Aymeries,day
K13,Compiegne,Paris Gare Du Nord,day,Compiegne → Paris du Nord,day
K13,Paris Gare Du Nord,Saint Quentin,day,Paris du Nord → Saint Quentin,day
K13,Maubeuge,Compiegne,day,Maubeuge → Compiegne,day
K13,Creil,Maubeuge,day,Creil → Maubeuge,day
K13,Cambrai,Creil,day,Cambrai → Creil,day
K13,Paris Gare Du Nord,Caudry,day,Paris du Nord → Caudry,day
K4,Dreux,Villedieu Les Poeles,day,Dreux → Villedieu les Poeles,day
K4,Granville,Argentan,day,Granville → Argentan,day
K4,Argentan,Paris Montparnasse Vaugirard,day,Argentan → Paris Montparnasse Vaugirard,day
K4,Argentan,Paris Montparnasse Hall 1 2,day,Argentan → Paris Montparnasse Hall 1 2,day
K39,Caen,Le Mans,day,Caen → le Mans,day
K39,Caen,Tours,day,Caen → Tours,day
K39,Tours,Saint Pierre Sur Dives,day,Tours → Saint Pierre Sur Dives,day
K39,Tours,Argentan,day,Tours → Argentan,day
K39,Tours,Surdon,day,Tours → Surdon,day
P2,Tours,Vierzon,day,Tours → Vierzon,day
P2,Lyon Perrache,Gilly Sur Loire,day,Lyon Perrache → Gilly Sur Loire,day
P2,Lyon Part Dieu,Dompierre Sept Fons,day,Lyon Part Dieu → Dompierre Sept Fons,day
P14,Villefranche Vernet Les Bains,Planes,day,Villefranche Vernet les Bains → Planes,day
P4,Gap,Romans Bourg De Peage,day,Gap → Romans Bourg de Peage,day
P4,Gap,Briancon,day,Gap → Briancon,day
P4,Romans Bourg De Peage,Chorges,day,Romans Bourg de Peage → Chorges,day
P4,Briancon,Saillans,day,Briancon → Saillans,day
P4,Briancon,Crest,day,Briancon → Crest,day
P4,Valence Ville,Embrun,day,Valence Ville → Embrun,day
P4,Valence Ville,Briancon,day,Valence Ville → Briancon,day
K2,Marseille Saint Charles,Sisteron,day,Marseille Saint Charles → Sisteron,day
K2,Gap,Aix En Provence,day,Gap → Aix En Provence,day
K2,Veynes Devoluy,Gardanne,day,Veynes Devoluy → Gardanne,day
K2,Briancon,Sisteron,day,Briancon → Sisteron,day
K11,Grenoble,Valence Ville,day,Grenoble → Valence Ville,day
K21,Chambery Challes Les Eaux,Romans Bourg De Peage,day,Chambery Challes les Eaux → Romans Bourg de Peage,day
K21,Annecy,Grenoble,day,Annecy → Grenoble,day
K21,Annecy,Chambery Challes Les Eaux,day,Annecy → Chambery Challes les Eaux,day
K21,Aix Les Bains Le Revard,Saint Hilaire Saint Nazaire,day,Aix les Bains le Revard → Saint Hilaire Saint Nazaire,day
K21,Chambery Challes Les Eaux,Valence Ville,day,Chambery Challes les Eaux → Valence Ville,day
K21,Valence Ville,Pontcharra Sur Breda,day,Valence Ville → Pontcharra Sur Breda,day
K21,Valence Ville,Montmelian,day,Valence Ville → Montmelian,day
K6,Grenoble,Lyon Part Dieu,day,Grenoble → Lyon Part Dieu,day
K6,Lyon Part Dieu,Saint Andre Le Gaz,day,Lyon Part Dieu → Saint Andre le Gaz,day
K14,Marseille Saint Charles,Montelimar,day,Marseille Saint Charles → Montelimar,day
K14,Avignon Centre,Le Peage De Roussillon,day,Avignon Centre → le Peage de Roussillon,day
K14,Lyon Part Dieu,Avignon Centre,day,Lyon Part Dieu → Avignon Centre,day
K14,Lyon Part Dieu,Pierrelatte,day,Lyon Part Dieu → Pierrelatte,day
K7,Dijon,Paris Bercy Bourg Pays D Auv,day,Dijon → Paris Bercy Bourg Pays D Auv,day
K7,Laroche Migennes,Paris Bercy Bourg Pays D Auv,day,Laroche Migennes → Paris Bercy Bourg Pays D Auv,day
K7,Macon,Tonnerre,day,Macon → Tonnerre,day
K7,Macon,Dijon,day,Macon → Dijon,day
K7,Lyon Perrache,Beaune,day,Lyon Perrache → Beaune,day
K7,Lyon Part Dieu,Joigny,day,Lyon Part Dieu → Joigny,day
K7,Lyon Part Dieu,Sens,day,Lyon Part Dieu → Sens,day
K7,Dijon,Lyon Perrache,day,Dijon → Lyon Perrache,day
K7,Laroche Migennes,Dijon,day,Laroche Migennes → Dijon,day
K7,Dijon,Belleville Sur Saone,day,Dijon → Belleville Sur Saone,day
K23,Annecy,Lyon Part Dieu,day,Annecy → Lyon Part Dieu,day
K23,Aix Les Bains Le Revard,Lyon Part Dieu,day,Aix les Bains le Revard → Lyon Part Dieu,day
K23,Lyon Part Dieu,Chambery Challes Les Eaux,day,Lyon Part Dieu → Chambery Challes les Eaux,day
P29,Le Valdahon,La Chaux De Fonds,day,le Valdahon → la Chaux de Fonds,day
P29,La Chaux De Fonds,Saone,day,la Chaux de Fonds → Saone,day
P29,Besancon Viotte,Avoudrey,day,Besancon Viotte → Avoudrey,day
P29,La Chaux De Fonds,Morteau,day,la Chaux de Fonds → Morteau,day
P29,La Chaux De Fonds,Le Valdahon Camp Militaire,day,la Chaux de Fonds → le Valdahon Camp Militaire,day
P38,Neuchatel,Frasne,day,Neuchatel → Frasne,day
P38,Bern,Frasne,day,Bern → Frasne,day
P28,Pontarlier,Vallorbe,day,Pontarlier → Vallorbe,day
P28,Frasne,Vallorbe,day,Frasne → Vallorbe,day
P28,Pontarlier,Frasne,day,Pontarlier → Frasne,day
L7,Lancy Pont Rouge,Annemasse,day,Lancy Pont Rouge → Annemasse,day
P52,Chamonix Mont Blanc,Vallorcine,day,Chamonix Mont Blanc → Vallorcine,day
P52,Saint Gervais Les Bains,Les Moussoux,day,Saint Gervais les Bains → les Moussoux,day
P52,Vallorcine,Les Moussoux,day,Vallorcine → les Moussoux,day
INCONNU,Martigny,Le Chatelard Frontiere,day,Martigny → le Chatelard Frontiere,day
INCONNU,Vallorcine,Les Fumeaux,day,Vallorcine → les Fumeaux,day
P52,Les Houches,La Joux,day,les Houches → la Joux,day
K80,Lille Flandres,Courtrai,day,Lille Flandres → Courtrai,day
K82,Charleroi Central,Erquelinnes Village,day,Charleroi Central → Erquelinnes Village,day
K82,Maubeuge,Landelies,day,Maubeuge → Landelies,day
K82,Charleroi Central,Erquelinnes,day,Charleroi Central → Erquelinnes,day
K82,Maubeuge,Marchienne Zone,day,Maubeuge → Marchienne Zone,day
