route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,type
RE,Ulm Hbf,Aalen,night,Ulm → Aalen,CH,CH,49.81,night
RE,Arth Goldau,Aarau,night,Arth Goldau → Aarau,CH,CH,53.52,night
S23,Baden,Aarau,night,Baden → Aarau,CH,CH,21.48,night
IR37,Aarau,Basel Sbb,night,Aarau → Basel Sbb,CH,CH,38.8,night
S14,Aarau,Bleien Liebegg,night,Aarau → Bleien Liebegg,CH,CH,7.09,night
S29,Aarau,Brugg Ag,night,Aarau → Brugg Ag,CH,CH,15.48,night
S23,Langenthal,Aarau,night,Langenthal → Aarau,CH,CH,27.9,night
S14,Aarau,Menziken,night,Aarau → Menziken,CH,CH,19.7,night
S26,Aarau,Muri Ag,night,Aarau → Muri Ag,CH,CH,25.21,night
SN,Aarau,Oberwinterthur,night,Aarau → Oberwinterthur,CH,CH,54.87,night
RE,Olten,Aarau,night,Olten → Aarau,CH,CH,11.67,night
S14,Schoftland,Aarau,night,Schoftland → Aarau,CH,CH,9.51,night
S11,Aarau,Sennhof Kyburg,night,Aarau → Sennhof Kyburg,CH,CH,53.97,night
S11,Aarau,Seuzach,night,Aarau → Seuzach,CH,CH,54.13,night
S29,Sursee,Aarau,night,Sursee → Aarau,CH,CH,24.78,night
S29,Aarau,Turgi,night,Aarau → Turgi,CH,CH,18.86,night
S11,Aarau,Wila,night,Aarau → Wila,CH,CH,60.07,night
S29,Aarau,Wildegg,night,Aarau → Wildegg,CH,CH,8.82,night
S11,Winterthur,Aarau,night,Winterthur → Aarau,CH,CH,52.01,night
S11,Winterthur Seen,Aarau,night,Winterthur Seen → Aarau,CH,CH,54.86,night
S29,Aarau,Zofingen,night,Aarau → Zofingen,CH,CH,14.08,night
RE,Aarau,Zurich Hardbrucke,night,Aarau → Zurich Hardbrucke,CH,CH,35.08,night
S11,Zurich Hb,Aarau,night,Zurich Hb → Aarau,CH,CH,36.84,night
