country,iso_code,year,population,gdp,fossil_electricity,renewables_electricity,carbon_intensity_elec,greenhouse_gas_emissions,coal_consumption,oil_consumption,gas_consumption,biofuel_consumption
ASEAN (Ember),,2024,,,1005.35,350.29,572.13,775.6,,,,
Africa,,2024,1515141052.0,,,,,,1194.997,2543.773,1780.349,1.16
Africa (EI),,2024,,,720.191,230.805,,,1194.997,2543.773,1780.349,1.16
Africa (Ember),,2024,,,732.25,239.2,544.86,533.55,,,,
Algeria,DZA,2024,46814302.0,,,0.753,,,1.737,250.971,505.476,0.0
Angola,AGO,2024,37885854.0,,,,,,,,,0.0
Argentina,ARG,2024,45696153.0,,89.62,52.44,344.83,52.59,9.952,339.032,456.226,14.633
Armenia,ARM,2024,2973843.0,,3.52,2.66,242.97,2.16,,,,
Asia,,2024,4805539800.0,,,,,,38880.117,26750.393,16982.66,270.183
Asia (Ember),,2024,,,10654.93,4658.95,570.42,9202.36,,,,
Asia Pacific (EI),,2024,,,10443.132,4723.728,,,38229.898,21070.15,9726.523,268.893
Australia,AUS,2024,26713206.0,,182.85,98.79,553.83,155.98,422.99,620.483,369.924,1.23
Austria,AUT,2024,9120815.0,,10.81,67.96,103.21,8.13,27.965,131.877,68.219,5.28
Azerbaijan,AZE,2024,10336577.0,,24.67,3.35,632.76,17.73,0.001,70.994,127.69,0.0
Bahrain,BHR,2024,1607059.0,,,,,,,,,0.0
Bangladesh,BGD,2024,173562366.0,,111.55,2.31,693.84,79.0,89.219,160.466,273.244,0.0
Belarus,BLR,2024,9056696.0,,28.56,1.45,323.27,14.77,11.147,92.523,167.84,0.0
Belgium,BEL,2024,11738761.0,,17.98,26.8,126.92,9.65,30.605,326.75,132.516,8.74
Bolivia,BOL,2024,12413318.0,,7.66,4.69,468.02,5.78,,,,0.0
Bosnia and Herzegovina,BIH,2024,3164256.0,,9.65,5.46,641.3,9.69,,,,
Brazil,BRA,2024,211998565.0,,78.68,651.26,106.06,79.09,147.807,1427.733,313.639,269.88
Brunei,BRN,2024,462734.0,,,,,,,,,0.0
Bulgaria,BGR,2024,6757686.0,,11.06,11.49,278.63,10.68,31.639,61.194,27.132,2.151
CIS (EI),,2024,,,1038.143,292.096,,,1542.812,2692.58,6160.106,6.015
Cambodia,KHM,2024,17638804.0,,9.32,6.4,498.09,7.83,,,,
Canada,CAN,2024,39742429.0,,142.04,409.28,185.35,118.03,81.143,1209.199,1285.354,32.977
Central America (EI),,2024,,,,45.835,,,11.039,293.06,11.746,0.389
Chad,TCD,2024,20299131.0,,,,,,,,,0.0
Chile,CHL,2024,19764774.0,,26.87,62.39,265.18,23.67,36.274,238.196,70.92,0.0
China,CHN,2024,1419321284.0,,6237.2,3398.83,555.4,5602.24,25599.307,8964.054,4343.913,37.228
Colombia,COL,2024,52886360.0,,31.19,56.32,285.8,25.01,61.591,252.61,134.499,11.228
Congo,COG,2024,6332969.0,,,,,,,,,0.0
Costa Rica,CRI,2024,5129909.0,,0.74,11.64,63.01,0.78,,,,
Croatia,HRV,2024,3875325.0,,4.06,11.06,172.62,2.61,2.647,47.036,23.653,0.01
Cuba,CUB,2024,10979781.0,,,,,,,,,0.0
Curacao,CUW,2024,185482.0,,,,,,,,,0.0
Cyprus,CYP,2024,1358287.0,,4.35,1.31,514.13,2.91,0.18,29.394,0.0,0.29
Czechia,CZE,2024,10735857.0,,30.81,12.31,414.17,30.16,99.847,112.905,66.89,3.879
Democratic Republic of Congo,COD,2024,109276264.0,,,,,,,,,0.0
Denmark,DNK,2024,5977417.0,,3.79,31.39,131.33,4.62,5.313,90.351,16.353,2.403
Dominican Republic,DOM,2024,11427558.0,,21.13,4.81,565.92,14.68,,,,
EU (Ember),,2024,,,792.19,1325.84,211.65,585.75,,,,
Eastern Africa (EI),,2024,,,,96.958,,,81.745,412.141,25.852,0.136
Ecuador,ECU,2024,18135478.0,,9.35,23.65,209.7,6.92,0.099,163.27,6.274,0.279
Egypt,EGY,2024,116538256.0,,210.81,26.58,574.5,136.38,19.119,440.123,597.828,0.0
El Salvador,SLV,2024,6338197.0,,0.48,6.57,99.29,0.7,,,,
Equatorial Guinea,GNQ,2024,1892523.0,,,,,,,,,0.0
Estonia,EST,2024,1360548.0,,2.75,3.45,340.32,2.11,26.753,15.271,3.386,0.241
Europe,,2024,746460441.0,,,,,,2670.72,9577.696,9115.708,226.632
Europe (EI),,2024,,,1124.377,1911.651,,,2117.955,8014.364,4686.822,222.263
Europe (Ember),,2024,,,1964.73,2119.82,284.07,1443.92,,,,
European Union (27),,2024,450259560.0,,,,,,1307.872,6073.39,3230.114,184.867
Finland,FIN,2024,5617311.0,,3.84,45.73,66.93,5.5,20.911,86.686,12.663,6.707
France,FRA,2024,66548532.0,,28.66,151.0,40.83,22.87,49.369,775.669,319.686,34.019
G20 (Ember),,2024,,,15013.56,8386.95,467.09,12144.03,,,,
G7 (Ember),,2024,,,3859.7,2415.96,342.67,2621.04,,,,
Gabon,GAB,2024,2538953.0,,,,,,,,,0.0
Georgia,GEO,2024,3807668.0,,2.83,11.43,143.06,2.04,,,,
Germany,DEU,2024,84552234.0,,205.13,287.83,338.36,166.8,438.235,1176.547,785.71,30.576
Greece,GRC,2024,10047813.0,,28.98,28.0,322.22,18.36,10.541,173.308,66.689,2.759
Guyana,GUY,2024,831092.0,,,,,,,,,0.0
High-income countries,,2024,1420176158.0,,,,,,7709.379,29518.469,24685.371,800.176
Hong Kong,HKG,2024,7414914.0,,,0.504,,,34.842,180.94,54.23,1.508
Hungary,HUN,2024,9676135.0,,10.02,11.94,184.57,7.01,8.792,95.424,82.37,3.334
Iceland,ISL,2024,393404.0,,,19.559,,,1.252,11.349,0.0,0.217
India,IND,2024,1450935785.0,,1578.43,397.07,707.45,1436.27,6379.826,3028.744,702.818,47.63
Indonesia,IDN,2024,283487933.0,,304.33,67.21,680.25,252.74,1311.346,878.984,472.717,120.655
Iran,IRN,2024,91567737.0,,367.39,21.05,648.68,256.74,18.45,1044.638,2453.936,0.0
Iraq,IRQ,2024,46042015.0,,,1.764,,,0.0,534.5,197.714,0.0
Ireland,IRL,2024,5255016.0,,16.71,14.25,273.26,8.46,4.771,85.429,49.659,4.397
Israel,ISR,2024,9387015.0,,,10.675,,,30.757,114.591,103.789,0.939
Italy,ITA,2024,59342870.0,,133.32,134.19,281.45,75.29,27.938,712.732,589.258,13.543
Japan,JPN,2024,123753041.0,,698.37,233.11,483.43,491.35,1258.552,1782.89,909.438,5.004
Kazakhstan,KAZ,2024,20592574.0,,100.48,18.03,802.04,95.05,415.602,192.419,207.398,0.0
Kenya,KEN,2024,56432946.0,,1.04,11.81,84.83,1.09,,,,
Kosovo,,2024,1684796.0,,6.19,0.32,961.6,6.26,,,,
Kuwait,KWT,2024,4934508.0,,85.75,1.91,637.24,55.86,1.087,277.066,246.45,0.0
Kyrgyzstan,KGZ,2024,7186014.0,,2.83,13.4,172.52,2.8,,,,
Latin America and Caribbean (Ember),,2024,,,652.15,1148.81,254.25,467.69,,,,
Latvia,LVA,2024,1871874.0,,1.68,4.64,134.49,0.85,0.14,18.536,8.172,0.173
Libya,LBY,2024,7381029.0,,,,,,,,,0.0
Lithuania,LTU,2024,2859112.0,,1.16,6.14,117.81,0.86,1.123,37.4,17.018,1.655
Low-income countries,,2024,756667958.0,,,,,,,,,0.0
Lower-middle-income countries,,2024,3122339016.0,,,,,,7710.049,4815.369,2594.006,54.582
Luxembourg,LUX,2024,673042.0,,0.14,1.36,133.33,0.2,0.229,27.646,6.028,1.521
Madagascar,MDG,2024,31964960.0,,,,,,,,,0.0
Malaysia,MYS,2024,35557670.0,,159.22,39.0,604.43,119.81,300.671,499.9,461.676,16.906
Malta,MLT,2024,539612.0,,1.85,0.34,488.58,1.07,,,,
Mexico,MEX,2024,130861001.0,,267.87,75.0,483.14,171.6,78.433,1000.66,1002.545,2.823
Middle Africa (EI),,2024,,,,39.792,,,5.913,163.36,58.375,0.0
Middle East (EI),,2024,,,1446.163,74.386,,,97.907,5261.138,5925.219,0.939
Middle East (Ember),,2024,,,1416.62,72.39,637.24,979.43,,,,
Moldova,MDA,2024,3034967.0,,4.6,0.61,629.56,3.28,,,,
Mongolia,MNG,2024,3475541.0,,7.57,0.81,807.88,6.77,,,,0.0
Montenegro,MNE,2024,638481.0,,1.47,2.23,413.51,1.53,,,,
Morocco,MAR,2024,38081176.0,,32.25,11.63,576.57,25.3,73.688,168.339,9.021,0.0
Mozambique,MOZ,2024,34631767.0,,,,,,,,,0.0
Myanmar,MMR,2024,54500086.0,,14.75,9.93,569.69,14.06,,,,0.0
Netherlands,NLD,2024,18228740.0,,56.69,62.25,250.43,30.68,48.167,432.999,261.444,9.407
Netherlands Antilles,ANT,2024,,,,,,,,,,
New Caledonia,NCL,2024,292655.0,,,,,,,,,0.0
New Zealand,NZL,2024,5213942.0,,6.64,37.82,119.66,5.32,14.747,89.66,30.38,0.064
Nigeria,NGA,2024,232679482.0,,30.89,9.24,507.85,20.38,,,,0.0
Non-OECD (EI),,2024,,,12828.119,5937.789,,,39072.301,31058.848,23439.541,566.191
Non-OPEC (EI),,2024,,,,,,,,,,0.0
North America,,2024,613150315.0,,,,,,2401.552,12803.618,11528.067,562.885
North America (EI),,2024,,,3143.195,1552.964,,,2355.203,12158.81,11309.891,559.442
North America (Ember),,2024,,,2694.66,1466.36,358.62,1803.27,,,,
North Macedonia,MKD,2024,1823011.0,,3.88,1.92,568.97,3.3,7.291,13.988,3.314,0.002
Norway,NOR,2024,5576656.0,,2.51,153.61,30.75,4.8,8.812,107.619,33.681,4.811
OECD (EI),,2024,,,5481.034,3930.318,,,6778.239,24233.234,17838.73,800.687
OECD (Ember),,2024,,,5392.77,3912.26,337.52,3761.9,,,,
OPEC (EI),,2024,,,,,,,,,,0.0
Oceania,,2024,46089066.0,,,,,,437.737,710.143,400.304,1.294
Oceania (Ember),,2024,,,198.62,139.93,495.32,167.69,,,,
Oman,OMN,2024,5281542.0,,41.53,1.82,545.33,23.64,1.372,123.506,316.711,0.0
Other Africa (EI),,2024,,,,,,,,,,0.136
Other Asia Pacific (EI),,2024,,,,,,,356.44,350.501,98.096,0.0
Other CIS (EI),,2024,,,,,,,25.395,55.026,55.757,0.0
Other Caribbean (EI),,2024,,,,,,,35.31,332.663,65.728,3.054
Other Eastern Africa (EI),,2024,,,,,,,,,,0.0
Other Europe (EI),,2024,,,,,,,138.048,217.905,65.351,0.135
